iter	RMSE
0	11560.27989
1	11034.36279
2	10554.49193
3	10124.24521
4	9723.497104
5	9338.99686
6	8986.645228
7	8657.29721
8	8353.82831
9	8075.863672
10	7806.953422
11	7562.466316
12	7341.126621
13	7126.532892
14	6936.100994
15	6772.094455
16	6612.487838
17	6463.180605
18	6325.459168
19	6200.746457
20	6092.114349
21	5993.703532
22	5895.733649
23	5807.148232
24	5729.651287
25	5652.078712
26	5585.383968
27	5525.464405
28	5464.331404
29	5413.250593
30	5365.260871
31	5321.606147
32	5280.905558
33	5240.104406
34	5208.009552
35	5172.416126
36	5138.914943
37	5112.531129
38	5088.796392
39	5057.653505
40	5030.871311
41	5008.82211
42	4985.793903
43	4964.567175
44	4947.572253
45	4934.845013
46	4918.530713
47	4894.853679
48	4883.34031
49	4869.24021
50	4853.380328
51	4839.272437
52	4823.460132
53	4812.131774
54	4798.57968
55	4790.142881
56	4775.266979
57	4765.387379
58	4742.774791
59	4728.826077
60	4709.853752
61	4698.801541
62	4683.306868
63	4674.450415
64	4663.223964
65	4652.924252
66	4644.724414
67	4634.690705
68	4629.659832
69	4621.346324
70	4610.483753
71	4599.414869
72	4583.88785
73	4576.436607
74	4568.150649
75	4562.691875
76	4555.074191
77	4542.843098
78	4529.738316
79	4516.539359
80	4509.579899
81	4504.213066
82	4493.733138
83	4488.548074
84	4480.139989
85	4469.871254
86	4456.405457
87	4446.972512
88	4436.719162
89	4432.911406
90	4424.51799
91	4415.861344
92	4410.456404
93	4401.891071
94	4394.152047
95	4388.17777
96	4381.143568
97	4375.187648
98	4371.643281
99	4359.848541
100	4353.413919
101	4343.676497
102	4336.601636
103	4324.974711
104	4320.998736
105	4310.648431
106	4295.634174
107	4289.304519
108	4278.259447
109	4272.532234
110	4262.928196
111	4257.573635
112	4248.644576
113	4243.513111
114	4240.207207
115	4233.444131
116	4228.470392
117	4221.876186
118	4216.950924
119	4212.664742
120	4202.888182
121	4196.888742
122	4191.551192
123	4185.296525
124	4178.911422
125	4171.360866
126	4164.664436
127	4157.547902
128	4151.865708
129	4142.153981
130	4136.852268
131	4129.879082
132	4122.259544
133	4111.072161
134	4102.635458
135	4097.699648
136	4088.252123
137	4078.997429
138	4073.455253
139	4065.100596
140	4060.193982
141	4052.51849
142	4046.321256
143	4042.10897
144	4034.676624
145	4028.035898
146	4023.43155
147	4016.943398
148	4007.10407
149	3998.420092
150	3991.111538
151	3986.116837
152	3982.459229
153	3978.080035
154	3974.236382
155	3965.582263
156	3957.759709
157	3950.305816
158	3942.72789
159	3937.568031
160	3930.307479
161	3926.05503
162	3912.684499
163	3908.463352
164	3901.789784
165	3894.232375
166	3890.882695
167	3885.73204
168	3883.522191
169	3877.510005
170	3872.973617
171	3867.781124
172	3862.691741
173	3855.785971
174	3851.406668
175	3848.994247
176	3842.342283
