iter	Passed	Remaining
0	2	2351
1	4	2289
2	6	2195
3	8	2177
4	11	2196
5	13	2306
6	16	2286
7	18	2261
8	20	2242
9	22	2227
10	24	2214
11	27	2249
12	30	2296
13	32	2281
14	34	2266
15	36	2254
16	38	2243
17	41	2237
18	43	2230
19	46	2282
20	48	2273
21	50	2265
22	53	2256
23	55	2252
24	57	2243
25	59	2237
26	63	2270
27	65	2264
28	67	2259
29	69	2253
30	72	2260
31	74	2256
32	77	2274
33	79	2272
34	82	2266
35	84	2262
36	86	2261
37	89	2259
38	91	2254
39	94	2270
40	96	2267
41	99	2261
42	101	2257
43	103	2252
44	105	2246
45	108	2241
46	111	2252
47	113	2249
48	115	2244
49	117	2241
50	120	2235
51	122	2229
52	124	2224
53	127	2232
54	129	2227
55	132	2225
56	134	2220
57	136	2214
58	138	2210
59	141	2213
60	143	2211
61	145	2207
62	148	2203
63	150	2199
64	152	2195
65	154	2191
66	157	2191
67	159	2188
68	161	2183
69	164	2187
70	167	2185
71	169	2182
72	171	2178
73	174	2185
74	176	2182
75	179	2184
76	182	2182
77	184	2179
78	186	2176
79	189	2180
80	192	2179
81	194	2175
82	196	2172
83	198	2168
84	201	2165
85	203	2161
86	207	2172
87	209	2169
88	211	2166
89	213	2162
90	216	2158
91	218	2156
92	221	2158
93	223	2156
94	225	2152
95	228	2148
96	230	2145
97	232	2141
98	234	2138
99	237	2139
100	239	2135
101	242	2132
102	244	2128
103	246	2125
104	248	2122
105	251	2119
106	254	2121
107	256	2117
108	258	2114
109	260	2110
110	263	2106
111	265	2103
112	267	2100
113	270	2100
114	272	2096
115	274	2093
116	276	2089
117	279	2085
118	281	2082
119	283	2079
120	286	2081
121	288	2078
122	291	2075
123	293	2072
124	295	2068
125	297	2065
126	299	2061
127	302	2062
128	305	2060
129	307	2057
130	309	2053
131	311	2050
132	314	2047
133	316	2044
134	319	2044
135	321	2041
136	323	2039
137	326	2037
138	328	2036
139	331	2035
140	335	2041
141	337	2039
142	339	2037
143	342	2034
144	344	2031
145	346	2027
146	349	2027
147	351	2025
148	354	2022
149	356	2019
150	358	2017
151	361	2014
152	363	2011
153	366	2012
154	368	2009
155	370	2005
156	373	2004
157	375	2001
158	377	1998
159	380	1998
160	384	2002
161	386	2000
162	389	1998
163	391	1995
164	393	1992
165	395	1988
166	398	1988
167	400	1985
168	403	1981
169	405	1978
170	407	1975
171	409	1972
172	411	1968
173	414	1967
174	416	1964
175	418	1961
176	421	1957
177	423	1954
178	425	1951
179	427	1948
180	430	1948
181	432	1945
182	435	1942
183	437	1939
184	439	1936
185	441	1933
186	443	1929
187	446	1928
188	448	1926
189	451	1923
190	453	1920
191	455	1917
192	457	1914
193	460	1911
194	462	1910
195	465	1908
196	467	1905
197	469	1901
198	471	1899
199	473	1895
200	476	1892
201	478	1890
202	480	1887
203	483	1884
204	485	1881
205	487	1878
206	489	1875
207	491	1872
208	494	1870
209	496	1868
210	498	1865
211	501	1862
212	503	1859
213	505	1856
214	507	1853
215	511	1855
216	513	1852
217	515	1849
218	517	1847
219	520	1844
220	522	1842
221	525	1840
222	528	1840
223	530	1838
224	532	1835
225	535	1833
226	537	1830
227	540	1829
228	543	1828
229	545	1826
230	547	1824
231	550	1821
232	552	1818
233	554	1815
234	557	1813
235	560	1813
236	562	1811
237	564	1808
238	567	1805
239	569	1802
240	572	1801
241	574	1800
242	577	1797
243	579	1794
244	581	1791
245	583	1789
246	586	1786
247	588	1783
248	590	1782
249	593	1779
250	595	1776
251	597	1773
252	599	1771
253	602	1768
254	604	1765
255	607	1764
256	609	1762
257	611	1759
258	614	1756
259	616	1754
260	618	1752
261	621	1749
262	624	1748
263	626	1745
264	628	1743
265	631	1741
266	633	1738
267	635	1735
268	637	1732
269	640	1731
270	642	1728
271	644	1726
272	647	1723
273	649	1721
274	651	1718
275	653	1715
276	656	1713
277	658	1711
278	661	1708
279	663	1706
280	665	1703
281	667	1700
282	670	1697
283	672	1696
284	675	1693
285	677	1692
286	680	1689
287	682	1686
288	684	1683
289	687	1682
290	689	1679
291	691	1677
292	694	1674
293	696	1672
294	698	1670
295	701	1668
296	704	1667
297	707	1666
298	709	1664
299	712	1662
300	715	1661
301	718	1659
302	721	1658
303	723	1656
304	725	1654
305	728	1651
306	730	1649
307	733	1647
308	736	1647
309	739	1644
310	741	1642
311	743	1640
312	746	1639
313	749	1637
314	752	1636
315	755	1634
316	757	1632
317	759	1629
318	763	1628
319	765	1626
320	769	1626
321	771	1624
322	773	1621
323	776	1619
324	778	1617
325	781	1614
326	784	1615
327	787	1613
328	790	1612
329	793	1610
330	797	1611
331	800	1611
332	803	1609
333	806	1607
334	808	1605
335	811	1603
336	813	1600
337	817	1600
338	819	1598
339	822	1596
340	824	1594
341	827	1591
342	829	1588
343	832	1587
344	834	1584
345	837	1582
346	839	1579
347	841	1576
348	843	1574
349	846	1572
350	849	1569
351	851	1567
352	853	1564
353	855	1561
354	857	1558
355	860	1556
356	862	1553
357	864	1551
358	867	1548
359	869	1545
360	871	1542
361	873	1540
362	876	1537
363	878	1534
364	880	1532
365	883	1529
366	885	1526
367	887	1524
368	889	1521
369	892	1518
370	894	1516
371	896	1514
372	899	1511
373	901	1508
374	903	1505
375	905	1503
376	908	1500
377	910	1497
378	912	1495
379	915	1493
380	917	1490
381	919	1488
382	922	1485
383	924	1483
384	928	1483
385	930	1480
386	933	1478
387	936	1476
388	938	1474
389	941	1472
390	944	1471
391	947	1469
392	950	1467
393	952	1465
394	955	1463
395	957	1460
396	961	1459
397	963	1457
398	966	1456
399	969	1453
400	971	1451
401	974	1449
402	978	1448
403	980	1446
404	983	1444
405	987	1444
406	989	1441
407	992	1440
408	995	1437
409	997	1435
410	999	1432
411	1002	1430
412	1005	1428
413	1009	1429
414	1012	1427
415	1015	1425
416	1018	1423
417	1020	1421
418	1024	1419
419	1026	1417
420	1029	1415
421	1031	1413
422	1034	1411
423	1037	1408
424	1040	1407
425	1043	1405
426	1045	1403
427	1048	1400
428	1050	1398
429	1052	1395
430	1056	1395
431	1059	1392
432	1061	1390
433	1064	1388
434	1067	1386
435	1069	1383
436	1072	1382
437	1075	1379
438	1078	1378
439	1081	1375
440	1084	1374
441	1088	1374
442	1091	1371
